,Season,Level,League,Division,Finish,Wins,Losses,Win%,GB,Post-Season,Awards
0,1901,MLB,AL,,3rd,74,61,0.5479999999999999,8½,,
1,1902,MLB,AL,,7th,52,83,0.385,30½,,
2,1903,MLB,AL,,5th,65,71,0.478,25,,
3,1904,MLB,AL,,7th,62,90,0.408,32,,
4,1905,MLB,AL,,3rd,79,74,0.516,15½,,
5,1906,MLB,AL,,6th,71,78,0.47700000000000004,21,,
6,1907,MLB,AL *,,1st,92,58,0.613,—,Lost World Series (Cubs) 4–0 *,
7,1908,MLB,AL *,,1st,90,63,0.588,—,Lost World Series (Cubs) 4–1 *,
8,1909,MLB,AL *,,1st,98,54,0.645,—,Lost World Series (Pirates) 4–3 *,Ty Cobb (TC)
9,1910,MLB,AL,,3rd,86,68,0.5579999999999999,18,,
10,1911,MLB,AL,,2nd,89,65,0.578,13½,,Ty Cobb (MVP)
11,1912,MLB,AL,,6th,69,84,0.451,36½,,
12,1913,MLB,AL,,6th,66,87,0.431,30,,
13,1914,MLB,AL,,4th,80,73,0.523,19½,,
14,1915,MLB,AL,,2nd,100,54,0.649,2½,,
15,1916,MLB,AL,,3rd,87,67,0.565,4,,
16,1917,MLB,AL,,4th,78,75,0.51,21½,,
17,1918,MLB,AL,,7th,55,71,0.43700000000000006,20,,
18,1919,MLB,AL,,4th,80,60,0.5710000000000001,8,,
19,1920,MLB,AL,,7th,61,93,0.396,37,,
20,1921,MLB,AL,,6th,71,82,0.46399999999999997,27,,
21,1922,MLB,AL,,3rd,79,75,0.513,15,,
22,1923,MLB,AL,,2nd,83,71,0.539,16,,
23,1924,MLB,AL,,3rd,86,68,0.5579999999999999,6,,
24,1925,MLB,AL,,4th,81,73,0.526,16½,,
25,1926,MLB,AL,,6th,79,75,0.513,12,,
26,1927,MLB,AL,,4th,82,71,0.536,27½,,
27,1928,MLB,AL,,6th,68,86,0.442,33,,
28,1929,MLB,AL,,6th,70,84,0.455,36,,
29,1930,MLB,AL,,5th,75,79,0.48700000000000004,27,,
30,1931,MLB,AL,,7th,61,93,0.396,47,,
31,1932,MLB,AL,,5th,76,75,0.503,29½,,
32,1933,MLB,AL,,5th,75,79,0.48700000000000004,25,,
33,1934,MLB,AL *,,1st,101,53,0.6559999999999999,—,Lost World Series (Cardinals) 4–3 *,Mickey Cochrane (MVP)
34,1935,MLB †,AL *,,1st,93,58,0.616,—,Won World Series (Cubs) 4–2 †,Hank Greenberg (MVP)
35,1936,MLB,AL,,2nd,83,71,0.539,19½,,
36,1937,MLB,AL,,2nd,89,65,0.578,13,,Charlie Gehringer (MVP)
37,1938,MLB,AL,,4th,84,70,0.545,16,,
38,1939,MLB,AL,,5th,81,73,0.526,26½,,
39,1940,MLB,AL *,,1st,90,64,0.584,—,Lost World Series (Reds) 4–3 *,Hank Greenberg (MVP)
40,1941,MLB,AL,,4th,75,79,0.48700000000000004,26,,
41,1942,MLB,AL,,5th,73,81,0.474,30,,
42,1943,MLB,AL,,5th,78,76,0.506,20,,
43,1944,MLB,AL,,2nd,88,66,0.5710000000000001,1,,Hal Newhouser (MVP)
44,1945,MLB †,AL *,,1st,88,65,0.575,—,Won World Series (Cubs) 4–3 †,"Hal Newhouser (MVP, TC)"
45,1946,MLB,AL,,2nd,92,62,0.597,12,,
46,1947,MLB,AL,,2nd,85,69,0.552,12,,
47,1948,MLB,AL,,5th,78,76,0.506,18½,,
48,1949,MLB,AL,,4th,87,67,0.565,10,,
49,1950,MLB,AL,,2nd,95,59,0.617,3,,
50,1951,MLB,AL,,5th,73,81,0.474,25,,
51,1952,MLB,AL,,8th,50,104,0.325,45,,
52,1953,MLB,AL,,6th,60,94,0.39,40½,,Harvey Kuenn (ROY)
53,1954,MLB,AL,,5th,68,86,0.442,43,,
54,1955,MLB,AL,,5th,79,75,0.513,17,,
55,1956,MLB,AL,,5th,82,72,0.532,15,,
56,1957,MLB,AL,,4th,78,76,0.506,20,,
57,1958,MLB,AL,,5th,77,77,0.5,15,,
58,1959,MLB,AL,,4th,76,78,0.494,18,,
59,1960,MLB,AL,,6th,71,83,0.461,26,,
60,1961,MLB,AL,,2nd,101,61,0.623,8,,
61,1962,MLB,AL,,4th,85,76,0.528,10½,,
62,1963,MLB,AL,,5th,79,83,0.488,25½,,
63,1964,MLB,AL,,4th,85,77,0.525,14,,
